Ind,Column Name,Data Type
0,number_of_elements,int64
1,mean_atomic_mass,float64
2,wtd_mean_atomic_mass,float64
3,gmean_atomic_mass,float64
4,wtd_gmean_atomic_mass,float64
5,entropy_atomic_mass,float64
6,wtd_entropy_atomic_mass,float64
7,range_atomic_mass,float64
8,wtd_range_atomic_mass,float64
9,std_atomic_mass,float64
10,wtd_std_atomic_mass,float64
11,mean_fie,float64
12,wtd_mean_fie,float64
13,gmean_fie,float64
14,wtd_gmean_fie,float64
15,entropy_fie,float64
16,wtd_entropy_fie,float64
17,range_fie,float64
18,wtd_range_fie,float64
19,std_fie,float64
20,wtd_std_fie,float64
21,mean_atomic_radius,float64
22,wtd_mean_atomic_radius,float64
23,gmean_atomic_radius,float64
24,wtd_gmean_atomic_radius,float64
25,entropy_atomic_radius,float64
26,wtd_entropy_atomic_radius,float64
27,range_atomic_radius,int64
28,wtd_range_atomic_radius,float64
29,std_atomic_radius,float64
30,wtd_std_atomic_radius,float64
31,mean_Density,float64
32,wtd_mean_Density,float64
33,gmean_Density,float64
34,wtd_gmean_Density,float64
35,entropy_Density,float64
36,wtd_entropy_Density,float64
37,range_Density,float64
38,wtd_range_Density,float64
39,std_Density,float64
40,wtd_std_Density,float64
41,mean_ElectronAffinity,float64
42,wtd_mean_ElectronAffinity,float64
43,gmean_ElectronAffinity,float64
44,wtd_gmean_ElectronAffinity,float64
45,entropy_ElectronAffinity,float64
46,wtd_entropy_ElectronAffinity,float64
47,range_ElectronAffinity,float64
48,wtd_range_ElectronAffinity,float64
49,std_ElectronAffinity,float64
50,wtd_std_ElectronAffinity,float64
51,mean_FusionHeat,float64
52,wtd_mean_FusionHeat,float64
53,gmean_FusionHeat,float64
54,wtd_gmean_FusionHeat,float64
55,entropy_FusionHeat,float64
56,wtd_entropy_FusionHeat,float64
57,range_FusionHeat,float64
58,wtd_range_FusionHeat,float64
59,std_FusionHeat,float64
60,wtd_std_FusionHeat,float64
61,mean_ThermalConductivity,float64
62,wtd_mean_ThermalConductivity,float64
63,gmean_ThermalConductivity,float64
64,wtd_gmean_ThermalConductivity,float64
65,entropy_ThermalConductivity,float64
66,wtd_entropy_ThermalConductivity,float64
67,range_ThermalConductivity,float64
68,wtd_range_ThermalConductivity,float64
69,std_ThermalConductivity,float64
70,wtd_std_ThermalConductivity,float64
71,mean_Valence,float64
72,wtd_mean_Valence,float64
73,gmean_Valence,float64
74,wtd_gmean_Valence,float64
75,entropy_Valence,float64
76,wtd_entropy_Valence,float64
77,range_Valence,int64
78,wtd_range_Valence,float64
79,std_Valence,float64
80,wtd_std_Valence,float64
81,critical_temp,float64
